=== Command: top -b -n1

top - 01:56:26 up  6:58,  3 users,  load average: 0.00, 0.05, 0.14
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.2 sy,  0.0 ni, 97.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15869.9 total,   4585.8 free,   3581.9 used,   8072.4 buff/cache     
MiB Swap:   4096.0 total,   4095.2 free,      0.8 used.  12288.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  51594 azizelo   20   0   62.6g 875060  64752 S   9.1   5.4   0:56.94 node
  55089 azizelo   20   0   11932   5504   3456 R   9.1   0.0   0:00.02 top
      1 root      20   0   23628  14696   9448 S   0.0   0.1   0:03.66 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.25 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:05.96 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.16 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.30 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.25 ksoftir+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:01.11 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.30 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.21 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:00.30 migrati+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.19 ksoftir+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.03 khungta+
     44 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     47 root      20   0       0      0      0 S   0.0   0.0   0:01.78 kcompac+
     48 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     50 root      39  19       0      0      0 S   0.0   0.0   0:00.03 khugepa+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.87 kworker+
     66 root      20   0       0      0      0 S   0.0   0.0   0:02.93 kswapd0
     67 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     75 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.57 kworker+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.65 kworker+
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    163 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
    164 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    165 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    219 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    221 root      20   0       0      0      0 S   0.0   0.0   0:00.10 usb-sto+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:08.82 usb-sto+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    227 root      20   0       0      0      0 S   0.0   0.0   0:00.11 usb-sto+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    297 root      20   0       0      0      0 S   0.0   0.0   0:00.96 jbd2/dm+
    298 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    369 root      19  -1   66972  19596  18572 S   0.0   0.1   0:00.80 systemd+
    394 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    395 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    416 root      rt   0  289112  27264   8704 S   0.0   0.2   0:02.20 multipa+
    450 root      20   0   29732   8388   5060 S   0.0   0.1   0:00.33 systemd+
    461 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    577 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/73-+
    593 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    609 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    610 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    643 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    648 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    707 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    708 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    716 root      20   0       0      0      0 S   0.0   0.0   0:00.15 jbd2/sd+
